0 8 8 8
1 24 8 8
2 24 8 8
3 28 8 8
4 28 8 8
5 32 8 8
6 28 8 8
7 32 8 8
8 32 8 8
9 32 8 8
10 32 8 8
11 24 8 8
12 24 8 8
13 32 8 8
14 36 12 8
15 36 12 8
16 40 12 8
17 36 8 8
18 28 8 8
19 24 8 8
20 28 8 12
21 32 8 12
22 28 8 12
23 32 8 12
24 32 16 16
25 32 16 16
26 32 16 16
27 28 16 16
28 36 16 16
29 32 16 12
30 32 16 12
31 32 16 12
32 32 16 12
33 32 16 8
34 32 16 12
35 40 20 12
36 32 16 12
37 36 16 12
38 40 20 12
39 40 20 12
40 36 16 12
41 36 16 12
42 40 20 12
43 40 20 12
44 40 20 12
45 40 20 16
46 36 20 16
47 40 20 16
48 36 20 16
49 36 20 12
50 40 20 16
51 36 20 16
52 40 20 16
53 40 20 16
54 40 20 16
55 36 20 16
56 40 20 16
57 40 20 16
58 40 20 16
59 32 16 16
60 40 20 16
61 40 20 16
62 36 20 16
63 32 20 16
64 28 16 16
65 28 16 16
66 28 16 16
67 24 16 16
68 32 16 16
69 32 16 16
70 40 20 16
71 40 20 16
72 40 20 16
73 36 20 16
74 32 24 24
75 36 24 24
76 36 24 24
77 36 20 24
78 36 24 24
79 36 24 24
80 36 24 24
81 32 24 24
82 36 28 28
83 20 24 24
84 24 24 28
85 24 24 24
86 24 24 28
87 20 28 24
88 24 24 24
89 28 32 28
90 24 24 24
91 28 32 28
92 28 32 24
93 24 20 20
94 28 20 24
95 24 20 20
96 24 16 20
97 12 16 12
98 16 12 12
99 12 16 12
100 16 12 12
101 16 16 12
102 16 16 12
103 16 12 12
104 12 20 16
105 16 24 20
106 8 20 16
107 16 24 20
108 16 20 20
109 16 16 16
110 16 24 24
111 16 28 24
112 16 28 24
113 16 28 24
114 16 20 16
115 16 28 24
116 16 28 24
117 16 28 24
118 16 28 24
119 12 24 24
120 12 28 24
121 12 24 24
122 16 24 24
123 24 32 28
124 24 36 28
125 24 28 28
126 28 32 28
127 24 36 28
128 24 32 28
129 24 28 28
130 28 28 28
131 20 28 28
132 16 28 36
133 16 28 36
134 20 28 32
135 16 28 36
136 20 28 36
137 20 28 36
138 20 28 36
139 20 28 32
140 20 28 28
141 16 28 32
142 20 28 32
143 20 28 36
144 16 28 32
145 16 28 32
146 16 28 32
147 20 28 28
148 8 24 24
149 8 24 24
150 8 24 24
151 8 24 24
152 8 24 24
153 8 24 20
154 8 24 20
155 8 24 20
156 8 24 24
157 8 24 20
158 8 24 28
159 8 24 20
160 8 16 16
161 8 16 8
162 8 16 8
